
Directory:
Name: babar.txt, Size: 49, Start Block: 0, Parent: Root, IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
